病院名,住所,電話番号,公式サイトURL,緯度,経度,有効フラグ,ふりがな,医療圏,診療科目
﻿まつ婦人科クリニック,宮崎市大字生目２１５－１,0985-62-3555,,,,1,ﾏﾂﾌｼﾞﾝｶ,宮崎市,婦
﻿田﨑皮膚科医院,宮崎市高松町４－４２,0985-23-2861,,,,1,ﾀｻｷﾋﾌｶ,宮崎市,皮
﻿たけお眼科,宮崎市大島町国草１６０－２,0985-60-5000,,,,1,ﾀｹｵｶﾞﾝｶ,宮崎市,眼
﻿まつだ耳鼻咽喉科　宮崎サージクリニック,宮崎市村角町折口３５５－３,0985-72-8733,,,,1,ﾏﾂﾀﾞｼﾞﾋﾞｲﾝｺｳｶ,宮崎市,耳鼻咽喉
﻿河野整形外科,宮崎市大字島之内７３０９,0985-39-3313,,,,1,ｶﾜﾉｾｲｹｲｹﾞｶ,宮崎市,整　外
﻿オーシャンクリニック,宮崎市大島町前田３１０－１,0985-25-7722,,,,1,ｵｰｼｬﾝｸﾘﾆｯｸ,宮崎市,外　内　消
﻿ありかわクリニック,宮崎市大坪町西六月２２１０番地１,0985-86-7272,,,,1,ｱﾘｶﾜｸﾘﾆｯｸ,宮崎市,脳外　リハ
﻿滝口内科医院,宮崎市大字本郷南方２１０２,0985-56-5500,,,,1,ﾀｷｸﾞﾁﾅｲｶｲｲﾝ,宮崎市,内
﻿ヘパトピア西高台内科,宮崎市北川内町字乱橋３６０８－１１,0985-52-5757,,,,1,ﾍﾊﾟﾄﾋﾟｱﾆｼﾀｶﾀﾞｲ,宮崎市,内
﻿さんさんファミリークリニック,宮崎市大字島之内７０６９－２,0985-39-3331,,,,1,ｻﾝｻﾝﾌｧﾐﾘｰｸﾘﾆｯｸ,宮崎市,内　小
﻿たかむら小児クリニック,宮崎市大坪町西六月２２０７－１,0985-52-8181,,,,1,ﾀｶﾑﾗｼｮｳﾆ,宮崎市,小
﻿けいめい記念病院,国富町大字岩知野７６２,0985-75-7007,,,,1,ｹｲﾒｲｷﾈﾝﾋﾞｮｳｲﾝ,宮崎市,内
﻿福永内科神経科医院,宮崎市清武町加納１丁目２９－２,0985-85-6006,,,,1,ﾌｸﾅｶﾞﾅｲｶｼﾝｹｲｶ,宮崎市,内　心内　精
﻿神尊産婦人科,宮崎市大字恒久５３０８番地１,0985-59-3311,,,,1,ｺｳｿｻﾝﾌｼﾞﾝｶ,宮崎市,産婦
﻿いといクリニック,宮崎市大字郡司分甲１０６９－１,0985-65-7775,,,,1,ｲﾄｲｸﾘﾆｯｸ,宮崎市,内　泌
﻿きくち皮膚科泌尿器科クリニック,宮崎市中村東２丁目１－２９,0985-51-1953,,,,1,ｷｸﾁﾋﾌｶﾋﾆｮｳｷｶ,宮崎市,皮　泌
﻿さどわら眼科,宮崎市佐土原町下那珂字和田山３９５７番地,0985-86-7520,,,,1,ｻﾄﾞﾜﾗｶﾞﾝｶ,宮崎市,眼
﻿安達耳鼻咽喉科医院,宮崎市中村西１丁目３－９,0985-51-3388,,,,1,ｱﾀﾞﾁｼﾞﾋﾞｲﾝｺｳｶ,宮崎市,耳鼻咽喉
﻿野辺整形外科内科,宮崎市佐土原町下田島２０１１３－３２,0985-73-0255,,,,1,ﾉﾍﾞｾｲｹｲｹﾞｶﾅｲｶ,宮崎市,整
﻿くろき整形外科,宮崎市谷川１丁目７－１８,0985-64-0233,,,,1,ｸﾛｷｾｲｹｲｹﾞｶ,宮崎市,整
﻿宮崎善仁会病院,宮崎市新別府町江口９５０番地１,0570-02-1599,,,,1,ﾐﾔｻﾞｷｾﾞﾝｼﾞﾝｶｲﾋﾞｮｳｲﾝ,宮崎市,外　整
﻿こいわや循環器内科クリニック,宮崎市大島町西田２１３７－４,0985-78-0020,,,,1,ｺｲﾜﾔｼﾞｭﾝｶﾝｷﾅｲｶ,宮崎市,循内　内　心臓リハ
﻿かわごえ内科クリニック,宮崎市宮崎駅東２－３－６KCビル１階,0985-23-2100,,31.916161,131.435655,1,ｶﾜｺﾞｴﾅｲｶ,宮崎市,内
﻿宮永内科クリニック,宮崎市大字芳士１０７４番地１,0985-62-5556,,,,1,ﾐﾔﾅｶﾞﾅｲｶ,宮崎市,内　呼
﻿いわさき小児科,宮崎市神宮東３丁目２０６－２,0985-35-7725,,,,1,ｲﾜｻｷｼｮｳﾆｶ,宮崎市,小
河合整形外科クリニック,宮崎市大字芳士１０３８－１,0985-62-5211,,,,1,ｶﾜｲｾｲｹｲｹﾞｶ,宮崎市,整
